Day;Hour;Consumption;
Monday;0;0;
Monday;1;0;
Monday;2;0;
Monday;3;0;
Monday;4;0;
Monday;5;0;
Monday;6;0;
Monday;7;0;
Monday;8;750;blocked
Monday;9;0;blocked
Monday;10;0;blocked
Monday;11;0;blocked
Monday;12;0;blocked
Monday;13;0;blocked
Monday;14;0;blocked
Monday;15;0;blocked
Monday;16;0;blocked
Monday;17;0;blocked
Monday;18;750;blocked
Monday;19;0;
Monday;20;0;
Monday;21;0;
Monday;22;0;
Monday;23;0;
Tuesday;0;0;
Tuesday;1;0;
Tuesday;2;0;
Tuesday;3;0;
Tuesday;4;0;
Tuesday;5;0;
Tuesday;6;0;
Tuesday;7;0;
Tuesday;8;750;blocked
Tuesday;9;0;blocked
Tuesday;10;0;blocked
Tuesday;11;0;blocked
Tuesday;12;0;blocked
Tuesday;13;0;blocked
Tuesday;14;0;blocked
Tuesday;15;0;blocked
Tuesday;16;0;blocked
Tuesday;17;0;blocked
Tuesday;18;750;blocked
Tuesday;19;0;
Tuesday;20;0;
Tuesday;21;0;
Tuesday;22;0;
Tuesday;23;0;
Wednesday;0;0;
Wednesday;1;0;
Wednesday;2;0;
Wednesday;3;0;
Wednesday;4;0;
Wednesday;5;0;
Wednesday;6;0;
Wednesday;7;0;
Wednesday;8;750;blocked
Wednesday;9;0;blocked
Wednesday;10;0;blocked
Wednesday;11;0;blocked
Wednesday;12;0;blocked
Wednesday;13;0;blocked
Wednesday;14;0;blocked
Wednesday;15;0;blocked
Wednesday;16;0;blocked
Wednesday;17;0;blocked
Wednesday;18;750;blocked
Wednesday;19;0;
Wednesday;20;0;
Wednesday;21;0;
Wednesday;22;0;
Wednesday;23;0;
Thursday;0;0;
Thursday;1;0;
Thursday;2;0;
Thursday;3;0;
Thursday;4;0;
Thursday;5;0;
Thursday;6;0;
Thursday;7;0;
Thursday;8;750;blocked
Thursday;9;0;blocked
Thursday;10;0;blocked
Thursday;11;0;blocked
Thursday;12;0;blocked
Thursday;13;0;blocked
Thursday;14;0;blocked
Thursday;15;0;blocked
Thursday;16;0;blocked
Thursday;17;0;blocked
Thursday;18;750;blocked
Thursday;19;0;
Thursday;20;0;
Thursday;21;0;
Thursday;22;0;
Thursday;23;0;
Friday;0;0;
Friday;1;0;
Friday;2;0;
Friday;3;0;
Friday;4;0;
Friday;5;0;
Friday;6;0;
Friday;7;0;
Friday;8;750;blocked
Friday;9;0;blocked
Friday;10;0;blocked
Friday;11;0;blocked
Friday;12;0;blocked
Friday;13;0;blocked
Friday;14;0;blocked
Friday;15;0;blocked
Friday;16;0;blocked
Friday;17;0;blocked
Friday;18;750;blocked
Friday;19;0;
Friday;20;0;
Friday;21;0;
Friday;22;0;
Friday;23;0;
Saturday;0;0;
Saturday;1;0;
Saturday;2;0;
Saturday;3;0;
Saturday;4;0;
Saturday;5;0;
Saturday;6;0;
Saturday;7;0;
Saturday;8;0;
Saturday;9;0;
Saturday;10;0;
Saturday;11;0;
Saturday;12;0;
Saturday;13;0;
Saturday;14;0;
Saturday;15;0;
Saturday;16;0;
Saturday;17;0;
Saturday;18;0;
Saturday;19;0;
Saturday;20;0;
Saturday;21;0;
Saturday;22;0;
Saturday;23;0;
Sunday/Holiday;0;0;
Sunday/Holiday;1;0;
Sunday/Holiday;2;0;
Sunday/Holiday;3;0;
Sunday/Holiday;4;0;
Sunday/Holiday;5;0;
Sunday/Holiday;6;0;
Sunday/Holiday;7;0;
Sunday/Holiday;8;0;
Sunday/Holiday;9;0;
Sunday/Holiday;10;0;
Sunday/Holiday;11;0;
Sunday/Holiday;12;0;
Sunday/Holiday;13;0;
Sunday/Holiday;14;0;
Sunday/Holiday;15;0;
Sunday/Holiday;16;0;
Sunday/Holiday;17;0;
Sunday/Holiday;18;0;
Sunday/Holiday;19;0;
Sunday/Holiday;20;0;
Sunday/Holiday;21;0;
Sunday/Holiday;22;0;
Sunday/Holiday;23;0;
