Day;Hour;Consumption;800W max
Monday;0;0;0
Monday;1;0;0
Monday;2;0;0
Monday;3;0;0
Monday;4;0;0
Monday;5;0;0
Monday;6;0;0
Monday;7;0;0
Monday;8;0;0
Monday;9;0;0
Monday;10;0;0
Monday;11;0;0
Monday;12;0;0
Monday;13;0;0
Monday;14;0;0
Monday;15;0;0
Monday;16;0;0
Monday;17;0;0
Monday;18;0;0
Monday;19;800;330
Monday;20;400;170
Monday;21;0;0
Monday;22;0;0
Monday;23;0;0
Tuesday;0;0;0
Tuesday;1;0;0
Tuesday;2;0;0
Tuesday;3;0;0
Tuesday;4;0;0
Tuesday;5;0;0
Tuesday;6;0;0
Tuesday;7;0;0
Tuesday;8;0;0
Tuesday;9;0;0
Tuesday;10;0;0
Tuesday;11;0;0
Tuesday;12;0;0
Tuesday;13;0;0
Tuesday;14;0;0
Tuesday;15;0;0
Tuesday;16;0;0
Tuesday;17;0;0
Tuesday;18;0;0
Tuesday;19;800;330
Tuesday;20;400;170
Tuesday;21;0;0
Tuesday;22;0;0
Tuesday;23;0;0
Wednesday;0;0;0
Wednesday;1;0;0
Wednesday;2;0;0
Wednesday;3;0;0
Wednesday;4;0;0
Wednesday;5;0;0
Wednesday;6;0;0
Wednesday;7;0;0
Wednesday;8;0;0
Wednesday;9;0;0
Wednesday;10;0;0
Wednesday;11;0;0
Wednesday;12;0;0
Wednesday;13;0;0
Wednesday;14;0;0
Wednesday;15;0;0
Wednesday;16;0;0
Wednesday;17;0;0
Wednesday;18;0;0
Wednesday;19;800;330
Wednesday;20;400;170
Wednesday;21;0;0
Wednesday;22;0;0
Wednesday;23;0;0
Thursday;0;0;0
Thursday;1;0;0
Thursday;2;0;0
Thursday;3;0;0
Thursday;4;0;0
Thursday;5;0;0
Thursday;6;0;0
Thursday;7;0;0
Thursday;8;0;0
Thursday;9;0;0
Thursday;10;0;0
Thursday;11;0;0
Thursday;12;0;0
Thursday;13;0;0
Thursday;14;0;0
Thursday;15;0;0
Thursday;16;0;0
Thursday;17;0;0
Thursday;18;0;0
Thursday;19;800;330
Thursday;20;400;170
Thursday;21;0;0
Thursday;22;0;0
Thursday;23;0;0
Friday;0;0;0
Friday;1;0;0
Friday;2;0;0
Friday;3;0;0
Friday;4;0;0
Friday;5;0;0
Friday;6;0;0
Friday;7;0;0
Friday;8;0;0
Friday;9;0;0
Friday;10;0;0
Friday;11;0;0
Friday;12;0;0
Friday;13;0;0
Friday;14;0;0
Friday;15;0;0
Friday;16;0;0
Friday;17;0;0
Friday;18;0;0
Friday;19;800;330
Friday;20;400;170
Friday;21;0;0
Friday;22;0;0
Friday;23;0;0
Saturday;0;0;0
Saturday;1;0;0
Saturday;2;0;0
Saturday;3;0;0
Saturday;4;0;0
Saturday;5;0;0
Saturday;6;0;0
Saturday;7;0;0
Saturday;8;0;0
Saturday;9;0;0
Saturday;10;0;0
Saturday;11;0;0
Saturday;12;0;0
Saturday;13;0;0
Saturday;14;0;0
Saturday;15;0;0
Saturday;16;0;0
Saturday;17;0;0
Saturday;18;0;0
Saturday;19;800;330
Saturday;20;400;170
Saturday;21;0;0
Saturday;22;0;0
Saturday;23;0;0
Sunday/Holiday;0;0;0
Sunday/Holiday;1;0;0
Sunday/Holiday;2;0;0
Sunday/Holiday;3;0;0
Sunday/Holiday;4;0;0
Sunday/Holiday;5;0;0
Sunday/Holiday;6;0;0
Sunday/Holiday;7;0;0
Sunday/Holiday;8;0;0
Sunday/Holiday;9;0;0
Sunday/Holiday;10;0;0
Sunday/Holiday;11;0;0
Sunday/Holiday;12;0;0
Sunday/Holiday;13;0;0
Sunday/Holiday;14;0;0
Sunday/Holiday;15;0;0
Sunday/Holiday;16;0;0
Sunday/Holiday;17;0;0
Sunday/Holiday;18;0;0
Sunday/Holiday;19;800;330
Sunday/Holiday;20;400;170
Sunday/Holiday;21;0;0
Sunday/Holiday;22;0;0
Sunday/Holiday;23;0;0
