Day;Hour;Consumption
Monday;0;30
Monday;1;30
Monday;2;30
Monday;3;30
Monday;4;30
Monday;5;30
Monday;6;30
Monday;7;30
Monday;8;30
Monday;9;30
Monday;10;30
Monday;11;30
Monday;12;30
Monday;13;30
Monday;14;30
Monday;15;30
Monday;16;30
Monday;17;30
Monday;18;30
Monday;19;30
Monday;20;30
Monday;21;30
Monday;22;30
Monday;23;30
Tuesday;0;30
Tuesday;1;30
Tuesday;2;30
Tuesday;3;30
Tuesday;4;30
Tuesday;5;30
Tuesday;6;30
Tuesday;7;30
Tuesday;8;30
Tuesday;9;30
Tuesday;10;30
Tuesday;11;30
Tuesday;12;30
Tuesday;13;30
Tuesday;14;30
Tuesday;15;30
Tuesday;16;30
Tuesday;17;30
Tuesday;18;30
Tuesday;19;30
Tuesday;20;30
Tuesday;21;30
Tuesday;22;30
Tuesday;23;30
Wednesday;0;30
Wednesday;1;30
Wednesday;2;30
Wednesday;3;30
Wednesday;4;30
Wednesday;5;30
Wednesday;6;30
Wednesday;7;30
Wednesday;8;30
Wednesday;9;30
Wednesday;10;30
Wednesday;11;30
Wednesday;12;30
Wednesday;13;30
Wednesday;14;30
Wednesday;15;30
Wednesday;16;30
Wednesday;17;30
Wednesday;18;30
Wednesday;19;30
Wednesday;20;30
Wednesday;21;30
Wednesday;22;30
Wednesday;23;30
Thursday;0;30
Thursday;1;30
Thursday;2;30
Thursday;3;30
Thursday;4;30
Thursday;5;30
Thursday;6;30
Thursday;7;30
Thursday;8;30
Thursday;9;30
Thursday;10;30
Thursday;11;30
Thursday;12;30
Thursday;13;30
Thursday;14;30
Thursday;15;30
Thursday;16;30
Thursday;17;30
Thursday;18;30
Thursday;19;30
Thursday;20;30
Thursday;21;30
Thursday;22;30
Thursday;23;30
Friday;0;30
Friday;1;30
Friday;2;30
Friday;3;30
Friday;4;30
Friday;5;30
Friday;6;30
Friday;7;30
Friday;8;30
Friday;9;30
Friday;10;30
Friday;11;30
Friday;12;30
Friday;13;30
Friday;14;30
Friday;15;30
Friday;16;30
Friday;17;30
Friday;18;30
Friday;19;30
Friday;20;30
Friday;21;30
Friday;22;30
Friday;23;30
Saturday;0;30
Saturday;1;30
Saturday;2;30
Saturday;3;30
Saturday;4;30
Saturday;5;30
Saturday;6;30
Saturday;7;30
Saturday;8;30
Saturday;9;30
Saturday;10;30
Saturday;11;30
Saturday;12;30
Saturday;13;30
Saturday;14;30
Saturday;15;30
Saturday;16;30
Saturday;17;30
Saturday;18;30
Saturday;19;30
Saturday;20;30
Saturday;21;30
Saturday;22;30
Saturday;23;30
Sunday;0;30
Sunday;1;30
Sunday;2;30
Sunday;3;30
Sunday;4;30
Sunday;5;30
Sunday;6;30
Sunday;7;30
Sunday;8;30
Sunday;9;30
Sunday;10;30
Sunday;11;30
Sunday;12;30
Sunday;13;30
Sunday;14;30
Sunday;15;30
Sunday;16;30
Sunday;17;30
Sunday;18;30
Sunday;19;30
Sunday;20;30
Sunday;21;30
Sunday;22;30
Sunday;23;30
