Day;Hour;Consumption
Monday;0;0
Monday;1;0
Monday;2;0
Monday;3;0
Monday;4;0
Monday;5;0
Monday;6;0
Monday;7;0
Monday;8;0
Monday;9;90
Monday;10;90
Monday;11;90
Monday;12;90
Monday;13;90
Monday;14;90
Monday;15;90
Monday;16;90
Monday;17;90
Monday;18;0
Monday;19;0
Monday;20;0
Monday;21;0
Monday;22;0
Monday;23;0
Tuesday;0;0
Tuesday;1;0
Tuesday;2;0
Tuesday;3;0
Tuesday;4;0
Tuesday;5;0
Tuesday;6;0
Tuesday;7;0
Tuesday;8;0
Tuesday;9;90
Tuesday;10;90
Tuesday;11;90
Tuesday;12;90
Tuesday;13;90
Tuesday;14;90
Tuesday;15;90
Tuesday;16;90
Tuesday;17;90
Tuesday;18;0
Tuesday;19;0
Tuesday;20;0
Tuesday;21;0
Tuesday;22;0
Tuesday;23;0
Wednesday;0;0
Wednesday;1;0
Wednesday;2;0
Wednesday;3;0
Wednesday;4;0
Wednesday;5;0
Wednesday;6;0
Wednesday;7;0
Wednesday;8;0
Wednesday;9;90
Wednesday;10;90
Wednesday;11;90
Wednesday;12;90
Wednesday;13;90
Wednesday;14;90
Wednesday;15;90
Wednesday;16;90
Wednesday;17;90
Wednesday;18;0
Wednesday;19;0
Wednesday;20;0
Wednesday;21;0
Wednesday;22;0
Wednesday;23;0
Thursday;0;0
Thursday;1;0
Thursday;2;0
Thursday;3;0
Thursday;4;0
Thursday;5;0
Thursday;6;0
Thursday;7;0
Thursday;8;0
Thursday;9;90
Thursday;10;90
Thursday;11;90
Thursday;12;90
Thursday;13;90
Thursday;14;90
Thursday;15;90
Thursday;16;90
Thursday;17;90
Thursday;18;0
Thursday;19;0
Thursday;20;0
Thursday;21;0
Thursday;22;0
Thursday;23;0
Friday;0;0
Friday;1;0
Friday;2;0
Friday;3;0
Friday;4;0
Friday;5;0
Friday;6;0
Friday;7;0
Friday;8;0
Friday;9;90
Friday;10;90
Friday;11;90
Friday;12;90
Friday;13;90
Friday;14;90
Friday;15;90
Friday;16;90
Friday;17;90
Friday;18;0
Friday;19;0
Friday;20;0
Friday;21;0
Friday;22;0
Friday;23;0
Saturday;0;0
Saturday;1;0
Saturday;2;0
Saturday;3;0
Saturday;4;0
Saturday;5;0
Saturday;6;0
Saturday;7;0
Saturday;8;0
Saturday;9;90
Saturday;10;90
Saturday;11;90
Saturday;12;90
Saturday;13;90
Saturday;14;90
Saturday;15;90
Saturday;16;90
Saturday;17;90
Saturday;18;0
Saturday;19;0
Saturday;20;0
Saturday;21;0
Saturday;22;0
Saturday;23;0
Sunday/Holiday;0;0
Sunday/Holiday;1;0
Sunday/Holiday;2;0
Sunday/Holiday;3;0
Sunday/Holiday;4;0
Sunday/Holiday;5;0
Sunday/Holiday;6;0
Sunday/Holiday;7;0
Sunday/Holiday;8;0
Sunday/Holiday;9;90
Sunday/Holiday;10;90
Sunday/Holiday;11;90
Sunday/Holiday;12;90
Sunday/Holiday;13;90
Sunday/Holiday;14;90
Sunday/Holiday;15;90
Sunday/Holiday;16;90
Sunday/Holiday;17;90
Sunday/Holiday;18;0
Sunday/Holiday;19;0
Sunday/Holiday;20;0
Sunday/Holiday;21;0
Sunday/Holiday;22;0
Sunday/Holiday;23;0
