Day;Hour;Consumption
Monday;0;15
Monday;1;15
Monday;2;15
Monday;3;15
Monday;4;15
Monday;5;15
Monday;6;15
Monday;7;15
Monday;8;15
Monday;9;15
Monday;10;15
Monday;11;15
Monday;12;15
Monday;13;15
Monday;14;15
Monday;15;15
Monday;16;15
Monday;17;15
Monday;18;15
Monday;19;15
Monday;20;15
Monday;21;15
Monday;22;15
Monday;23;15
Tuesday;0;15
Tuesday;1;15
Tuesday;2;15
Tuesday;3;15
Tuesday;4;15
Tuesday;5;15
Tuesday;6;15
Tuesday;7;15
Tuesday;8;15
Tuesday;9;15
Tuesday;10;15
Tuesday;11;15
Tuesday;12;15
Tuesday;13;15
Tuesday;14;15
Tuesday;15;15
Tuesday;16;15
Tuesday;17;15
Tuesday;18;15
Tuesday;19;15
Tuesday;20;15
Tuesday;21;15
Tuesday;22;15
Tuesday;23;15
Wednesday;0;15
Wednesday;1;15
Wednesday;2;15
Wednesday;3;15
Wednesday;4;15
Wednesday;5;15
Wednesday;6;15
Wednesday;7;15
Wednesday;8;15
Wednesday;9;15
Wednesday;10;15
Wednesday;11;15
Wednesday;12;15
Wednesday;13;15
Wednesday;14;15
Wednesday;15;15
Wednesday;16;15
Wednesday;17;15
Wednesday;18;15
Wednesday;19;15
Wednesday;20;15
Wednesday;21;15
Wednesday;22;15
Wednesday;23;15
Thursday;0;15
Thursday;1;15
Thursday;2;15
Thursday;3;15
Thursday;4;15
Thursday;5;15
Thursday;6;15
Thursday;7;15
Thursday;8;15
Thursday;9;15
Thursday;10;15
Thursday;11;15
Thursday;12;15
Thursday;13;15
Thursday;14;15
Thursday;15;15
Thursday;16;15
Thursday;17;15
Thursday;18;15
Thursday;19;15
Thursday;20;15
Thursday;21;15
Thursday;22;15
Thursday;23;15
Friday;0;15
Friday;1;15
Friday;2;15
Friday;3;15
Friday;4;15
Friday;5;15
Friday;6;15
Friday;7;15
Friday;8;15
Friday;9;15
Friday;10;15
Friday;11;15
Friday;12;15
Friday;13;15
Friday;14;15
Friday;15;15
Friday;16;15
Friday;17;15
Friday;18;15
Friday;19;15
Friday;20;15
Friday;21;15
Friday;22;15
Friday;23;15
Saturday;0;15
Saturday;1;15
Saturday;2;15
Saturday;3;15
Saturday;4;15
Saturday;5;15
Saturday;6;15
Saturday;7;15
Saturday;8;15
Saturday;9;15
Saturday;10;15
Saturday;11;15
Saturday;12;15
Saturday;13;15
Saturday;14;15
Saturday;15;15
Saturday;16;15
Saturday;17;15
Saturday;18;15
Saturday;19;15
Saturday;20;15
Saturday;21;15
Saturday;22;15
Saturday;23;15
Sunday;0;15
Sunday;1;15
Sunday;2;15
Sunday;3;15
Sunday;4;15
Sunday;5;15
Sunday;6;15
Sunday;7;15
Sunday;8;15
Sunday;9;15
Sunday;10;15
Sunday;11;15
Sunday;12;15
Sunday;13;15
Sunday;14;15
Sunday;15;15
Sunday;16;15
Sunday;17;15
Sunday;18;15
Sunday;19;15
Sunday;20;15
Sunday;21;15
Sunday;22;15
Sunday;23;15
