date from;date to;Euro per Mwh;Euro per Kwh;Euro per kWh incl. Taxes
01.05.2023 00:00;01.05.2023 01:00;109.9;0.1099;0.130781
01.05.2023 01:00;01.05.2023 02:00;99.9;0.0999;0.118881
01.05.2023 02:00;01.05.2023 03:00;95.49;0.09549;0.1136331
01.05.2023 03:00;01.05.2023 04:00;89.98;0.08998;0.1070762
01.05.2023 04:00;01.05.2023 05:00;87.29;0.08729;0.1038751
01.05.2023 05:00;01.05.2023 06:00;88;0.088;0.10472
01.05.2023 06:00;01.05.2023 07:00;87.16;0.08716;0.1037204
01.05.2023 07:00;01.05.2023 08:00;84.2;0.0842;0.100198
01.05.2023 08:00;01.05.2023 09:00;83.14;0.08314;0.0989366
01.05.2023 09:00;01.05.2023 10:00;84.04;0.08404;0.1000076
01.05.2023 10:00;01.05.2023 11:00;74.29;0.07429;0.0884051
01.05.2023 11:00;01.05.2023 12:00;67.99;0.06799;0.0809081
01.05.2023 12:00;01.05.2023 13:00;54.63;0.05463;0.0650097
01.05.2023 13:00;01.05.2023 14:00;34.69;0.03469;0.0412811
01.05.2023 14:00;01.05.2023 15:00;29.99;0.02999;0.0356881
01.05.2023 15:00;01.05.2023 16:00;41.19;0.04119;0.0490161
01.05.2023 16:00;01.05.2023 17:00;76.25;0.07625;0.0907375
01.05.2023 17:00;01.05.2023 18:00;95.58;0.09558;0.1137402
01.05.2023 18:00;01.05.2023 19:00;116.37;0.11637;0.1384803
01.05.2023 19:00;01.05.2023 20:00;124.64;0.12464;0.1483216
01.05.2023 20:00;01.05.2023 21:00;125.8;0.1258;0.149702
01.05.2023 21:00;01.05.2023 22:00;121.72;0.12172;0.1448468
01.05.2023 22:00;01.05.2023 23:00;117.9;0.1179;0.140301
01.05.2023 23:00;02.05.2023 00:00;111.04;0.11104;0.1321376
02.05.2023 00:00;02.05.2023 01:00;98.48;0.09848;0.1171912
02.05.2023 01:00;02.05.2023 02:00;85.6;0.0856;0.101864
02.05.2023 02:00;02.05.2023 03:00;83.3;0.0833;0.099127
02.05.2023 03:00;02.05.2023 04:00;80.9;0.0809;0.096271
02.05.2023 04:00;02.05.2023 05:00;81.22;0.08122;0.0966518
02.05.2023 05:00;02.05.2023 06:00;90.39;0.09039;0.1075641
02.05.2023 06:00;02.05.2023 07:00;111.06;0.11106;0.1321614
